web-scraper-order,web-scraper-start-url,judul,rating,tahun,durasi,link,link-href,umur
1718339113-1,https://www.imdb.com/chart/top/?ref_=nv_mv_250,1. The Shawshank Redemption,8.2 (1.2M),1994,2h 22m,1. The Shawshank Redemption,https://www.imdb.com/title/tt0111161/?ref_=chttp_t_1,R
1718339113-2,https://www.imdb.com/chart/top/?ref_=nv_mv_250,2. The Godfather,8.2 (133K),1972,2h 55m,2. The Godfather,https://www.imdb.com/title/tt0068646/?ref_=chttp_t_2,R
1718339113-3,https://www.imdb.com/chart/top/?ref_=nv_mv_250,3. The Dark Knight,8.2 (132K),2008,2h 32m,3. The Dark Knight,https://www.imdb.com/title/tt0468569/?ref_=chttp_t_3,PG-13
1718339113-4,https://www.imdb.com/chart/top/?ref_=nv_mv_250,4. The Godfather Part II,8.2 (572K),1974,3h 22m,4. The Godfather Part II,https://www.imdb.com/title/tt0071562/?ref_=chttp_t_4,R
1718339113-5,https://www.imdb.com/chart/top/?ref_=nv_mv_250,5. 12 Angry Men,8.2 (260K),1957,1h 36m,5. 12 Angry Men,https://www.imdb.com/title/tt0050083/?ref_=chttp_t_5,Approved
1718339113-6,https://www.imdb.com/chart/top/?ref_=nv_mv_250,6. Schindler's List,8.2 (1.1M),1993,3h 15m,6. Schindler's List,https://www.imdb.com/title/tt0108052/?ref_=chttp_t_6,R
1718339113-7,https://www.imdb.com/chart/top/?ref_=nv_mv_250,7. The Lord of the Rings: The Return of the King,8.2 (816K),2003,3h 21m,7. The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/?ref_=chttp_t_7,PG-13
1718339113-8,https://www.imdb.com/chart/top/?ref_=nv_mv_250,8. Pulp Fiction,8.2 (453K),1994,2h 34m,8. Pulp Fiction,https://www.imdb.com/title/tt0110912/?ref_=chttp_t_8,R
1718339113-9,https://www.imdb.com/chart/top/?ref_=nv_mv_250,9. The Lord of the Rings: The Fellowship of the Ring,8.2 (181K),2001,2h 58m,9. The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/?ref_=chttp_t_9,PG-13
1718339113-10,https://www.imdb.com/chart/top/?ref_=nv_mv_250,"10. The Good, the Bad and the Ugly",8.2 (259K),1966,2h 58m,"10. The Good, the Bad and the Ugly",https://www.imdb.com/title/tt0060196/?ref_=chttp_t_10,R
1718339113-11,https://www.imdb.com/chart/top/?ref_=nv_mv_250,11. Forrest Gump,8.2 (190K),1994,2h 22m,11. Forrest Gump,https://www.imdb.com/title/tt0109830/?ref_=chttp_t_11,PG-13
1718339113-12,https://www.imdb.com/chart/top/?ref_=nv_mv_250,12. The Lord of the Rings: The Two Towers,8.2 (336K),2002,2h 59m,12. The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/?ref_=chttp_t_12,PG-13
1718339113-13,https://www.imdb.com/chart/top/?ref_=nv_mv_250,13. Fight Club,8.2 (1.2M),1999,2h 19m,13. Fight Club,https://www.imdb.com/title/tt0137523/?ref_=chttp_t_13,R
1718339113-14,https://www.imdb.com/chart/top/?ref_=nv_mv_250,14. Inception,8.2 (223K),2010,2h 28m,14. Inception,https://www.imdb.com/title/tt1375666/?ref_=chttp_t_14,PG-13
